"p_val ""avg_log2FC"" ""pct.1"" ""pct.2"" ""p_val_adj"" ""cluster"" ""gene"""
"56 2.11907281334735e-12 3.38299923455453 0.13 0.047 2.76814481607564e-08 ""2"" ""Or132"""
"57 3.48001091123925e-07 1.15033487208059 0.232 0.143 0.00454593825335183 ""2"" ""LOC5566210"""
"58 0 2.17829382939262 0.73 0.04 0 ""3"" ""Or88"""
"59 5.79643471467009e-239 2.05647542311506 0.759 0.103 7.57188266777354e-235 ""3"" ""Or87"""
"60 3.20465433857265e-219 1.9775879391229 0.617 0.066 4.18623996247746e-215 ""3"" ""Or36"""
"61 1.1274112890728e-142 1.8801065797379 0.907 0.286 1.4727373669158e-138 ""3"" ""LOC5568887"""
"62 2.09550987867451e-105 1.27220584162938 1 0.959 2.73736455451251e-101 ""3"" ""LOC5569019"""
"63 2.47065055349435e-77 1.29375077716503 0.965 0.716 3.22741081802967e-73 ""3"" ""LOC5566425"""
"64 2.46235521635857e-75 1.04212139383974 0.99 0.78 3.2165746191292e-71 ""3"" ""LOC5575931"""
"65 2.87343766444513e-75 1.10909864868771 0.987 0.712 3.75357162106467e-71 ""3"" ""LOC5579195"""
"66 1.22562914489518e-71 1.17080373189537 0.81 0.347 1.60103935197657e-67 ""3"" ""LOC5564419"""
"67 1.45451422946747e-68 1.33630184426748 0.891 0.513 1.90003193795336e-64 ""3"" ""LOC5570947"""
"68 4.00298058594511e-68 1.15916943298107 0.936 0.657 5.2290935394201e-64 ""3"" ""LOC23687451"""
"69 1.71875587907864e-63 1.15023199058572 0.228 0.031 2.24521080484042e-59 ""3"" ""LOC5577181"""
"70 2.25522900913756e-58 1.04430037909203 0.952 0.658 2.94600565463639e-54 ""3"" ""LOC110675790"""
"71 1.76053355282534e-56 1.05539585011127 0.608 0.215 2.29978498005574e-52 ""3"" ""LOC5570445"""
"72 1.66563882798373e-53 1.03110013550079 0.887 0.539 2.17582400099515e-49 ""3"" ""LOC5564562"""
"73 0 4.54215507233052 0.961 0.091 0 ""4"" ""LOC23687649"""
"74 0 4.32499471200335 0.941 0.119 0 ""4"" ""LOC5567138"""
"75 0 4.04459011116028 0.847 0.071 0 ""4"" ""LOC5580270"""
"76 0 4.02772872455688 0.909 0.054 0 ""4"" ""LOC5576694"""
"77 0 3.54294967905153 0.977 0.061 0 ""4"" ""LOC5575210"""
"78 0 3.49097706878632 0.925 0.092 0 ""4"" ""LOC5573660"""
"79 0 3.20692868457434 0.886 0.092 0 ""4"" ""LOC5567502"""
"80 0 3.14185465542221 0.739 0.067 0 ""4"" ""LOC110675390"""
"81 0 3.08256981113739 0.772 0.059 0 ""4"" ""LOC110679100"""
"82 0 2.89164118196157 0.779 0.05 0 ""4"" ""LOC5578903"""
"83 0 2.76352510861917 0.769 0.056 0 ""4"" ""LOC5563772"""
"84 0 2.67055988089346 0.655 0.016 0 ""4"" ""LOC5575499"""
"85 0 2.55634194239879 0.625 0.02 0 ""4"" ""LOC5580180"""
"86 0 2.30803717821785 0.58 0.012 0 ""4"" ""LOC5574213"""
"87 0 2.20194488136368 0.603 0.018 0 ""4"" ""LOC5571256"""
"88 0 2.08140196764013 0.557 0.021 0 ""4"" ""LOC5578162"""
"89 0 1.89067063148405 0.616 0.012 0 ""4"" ""MT-AaegL5-0439282"""
"90 0 1.68183965064673 0.472 0.014 0 ""4"" ""LOC5578493"""
"91 0 1.67810739788845 0.407 0.002 0 ""4"" ""LOC110678284"""
"92 0 1.67651992848068 0.414 0.009 0 ""4"" ""LOC5569934"""
"93 3.46592150650311e-307 2.55140631056919 0.697 0.059 4.52753326394501e-303 ""4"" ""LOC110676888"""
"94 1.12329511334204e-305 2.23067582240278 0.518 0.025 1.4673604065587e-301 ""4"" ""LOC110674016"""
"95 9.55083570417353e-292 2.94344444453421 0.635 0.052 1.24762566803619e-287 ""4"" ""LOC5572022"""
"96 2.17130465653108e-257 2.80634171553599 0.687 0.078 2.83637527282654e-253 ""4"" ""LOC5573892"""
"97 3.52954485593264e-241 2.84086036020682 0.756 0.111 4.61064444530481e-237 ""4"" ""LOC110679431"""
"98 5.54406055451079e-232 1.88940654967548 0.404 0.02 7.24220630235744e-228 ""4"" ""LOC5571831"""
"99 4.33524336261751e-230 2.56644177762545 0.762 0.116 5.66312840458725e-226 ""4"" ""LOC5571100"""
"100 1.63761197509698e-227 1.51034719265911 0.355 0.014 2.13921252306918e-223 ""4"" ""LOC5567539"""
"101 3.33026627376239e-225 2.51069907235664 0.879 0.18 4.35032683341581e-221 ""4"" ""LOC110676131"""
"102 1.58840581985205e-219 1.5122489583942 0.407 0.022 2.07493452247274e-215 ""4"" ""LOC5568915"""
"103 1.85409269744671e-217 1.66196305244444 0.417 0.024 2.42200129067464e-213 ""4"" ""LOC5563695"""
"104 2.21622858658028e-208 1.51786406815751 0.45 0.032 2.89505940264982e-204 ""4"" ""LOC5575343"""
"105 1.16288523415759e-206 1.88220183043728 0.485 0.04 1.51907698138006e-202 ""4"" ""LOC5577463"""
"106 7.4282640080029e-201 2.20959929286535 0.893 0.194 9.70354127365419e-197 ""4"" ""LOC5564067"""
"107 1.45365270852119e-200 1.10850305929091 0.257 0.006 1.89890653314124e-196 ""4"" ""LOC5574008"""
"108 1.81086418150859e-198 2.46742652747947 0.863 0.203 2.36553188030468e-194 ""4"" ""LOC110675143"""
"109 8.75475444349206e-195 2.76886808436876 0.879 0.242 1.14363357295337e-190 ""4"" ""LOC5580119"""
"110 8.17821047201784e-193 2.04264014663176 0.893 0.198 1.06831963395969e-188 ""4"" ""LOC5572620"""
"111 1.4240274559901e-191 2.76641667031228 0.743 0.143 1.86020706575986e-187 ""4"" ""LOC23687733"""
"112 6.05565889272742e-187 2.66799757775012 0.896 0.244 7.91050721156983e-183 ""4"" ""LOC5569251"""
"113 1.11525846914431e-184 2.20971714502379 0.739 0.134 1.45686213824321e-180 ""4"" ""LOC5572987"""
"114 1.22446127426619e-181 1.48800041051918 0.381 0.026 1.59951376257392e-177 ""4"" ""LOC5569243"""
"115 4.86476103790003e-176 1.50400548782098 0.329 0.018 6.35483734380881e-172 ""4"" ""LOC5567691"""
"116 1.59368906427931e-170 3.09428038782095 0.993 0.68 2.08183602466806e-166 ""4"" ""LOC5573079"""
"117 2.31396234589179e-167 1.98153741888453 0.629 0.099 3.02272901243845e-163 ""4"" ""LOC5573307"""
"118 1.51797259606835e-164 1.27437682856989 0.27 0.012 1.98292760224408e-160 ""4"" ""LOC5568971"""
"119 5.7911845415843e-160 2.08268858869199 0.717 0.145 7.56502436667157e-156 ""4"" ""LOC110676024"""
"120 3.13109693940361e-158 2.17710586926654 0.967 0.378 4.09015193194293e-154 ""4"" ""LOC5576177"""
"121 6.41348681044315e-157 2.28407988800153 0.987 0.743 8.37793782048189e-153 ""4"" ""LOC5567482"""
"122 1.05546364123446e-153 2.41228072407652 0.967 0.527 1.37875215454457e-149 ""4"" ""LOC5575615"""
"123 3.18129703351213e-153 1.29239931145896 0.28 0.015 4.15572831487689e-149 ""4"" ""LOC5567694"""
"124 4.00207275157766e-152 1.77016510110835 0.622 0.106 5.22790763538589e-148 ""4"" ""LOC5568453"""
"125 1.03384204753306e-149 1.98765627689672 0.805 0.207 1.35050786669243e-145 ""4"" ""LOC5563680"""
"126 1.53084703344486e-147 2.58054298444855 0.805 0.21 1.99974547978902e-143 ""4"" ""LOC5566816"""
"127 4.93818381858429e-146 2.21257311752324 0.938 0.355 6.45074952221666e-142 ""4"" ""LOC5577138"""
"128 9.09351625904201e-145 2.12470131602196 0.616 0.113 1.18788602891866e-140 ""4"" ""LOC5572977"""
"129 5.83523682217939e-143 2.13194657634505 0.987 0.763 7.62256986081293e-139 ""4"" ""LOC5571436"""
"130 3.36745365634397e-142 1.94710974730966 0.645 0.129 4.39890471128213e-138 ""4"" ""LOC5579127"""
"131 2.10570847849897e-140 1.92075311138498 1 0.824 2.75068698546321e-136 ""4"" ""LOC5575947"""
"132 7.20271809718372e-140 1.30500600248608 1 0.991 9.4089106503511e-136 ""4"" ""LOC5567355"""
"133 3.2275428444516e-139 2.13600639156326 0.922 0.375 4.21613921770713e-135 ""4"" ""LOC5567664"""
"134 3.23567491016949e-138 1.46177228475187 0.99 0.937 4.22676213515441e-134 ""4"" ""LOC5575962"""
"135 1.00469486620701e-137 1.62446659251608 0.531 0.081 1.31243290372621e-133 ""4"" ""LOC5570700"""
"136 1.07170614999167e-136 2.03583341290649 0.629 0.129 1.39996974373412e-132 ""4"" ""LOC5564275"""
"137 1.62566265224976e-136 1.99269131604694 0.84 0.244 2.12360312263387e-132 ""4"" ""LOC23687899"""
"138 2.01514236370532e-135 1.1459585267195 0.231 0.01 2.63238046970826e-131 ""4"" ""LOC5565029"""
"139 2.22883252173408e-134 1.82920145770707 0.648 0.135 2.91152392314123e-130 ""4"" ""LOC5564607"""
"140 1.18432857324391e-131 1.96953699157549 0.831 0.272 1.54708841522852e-127 ""4"" ""LOC5577412"""
"141 7.42412370916849e-131 1.71680447422735 0.99 0.846 9.6981328012868e-127 ""4"" ""LOC5570466"""
"142 5.90584155763013e-130 2.08780730231805 0.759 0.196 7.71480082673224e-126 ""4"" ""LOC5577565"""
"143 8.45889205472745e-129 1.16329104732616 0.332 0.03 1.10498506910905e-124 ""4"" ""LOC5565612"""
"144 2.2381157925989e-126 1.67701115133573 0.749 0.189 2.92365065987194e-122 ""4"" ""LOC5570655"""
"145 2.88714923725124e-125 1.31927077319455 0.436 0.058 3.77148304862129e-121 ""4"" ""LOC5575831"""
"146 1.45106107647147e-123 1.65251845160748 0.987 0.807 1.89552108419469e-119 ""4"" ""LOC5573241"""
"147 2.62810751087877e-121 1.81519136273434 0.941 0.389 3.43309684146093e-117 ""4"" ""LOC5577413"""
"148 4.95897123876132e-119 2.37486460100837 0.736 0.226 6.47790412919391e-115 ""4"" ""LOC5574086"""
"149 4.17628254064601e-118 2.04168475924266 0.479 0.081 5.45547788284588e-114 ""4"" ""LOC5579300"""
"150 1.50397040712999e-117 2.02428489826733 0.541 0.107 1.96463654283391e-113 ""4"" ""LOC5575298"""
"151 7.98985266113103e-117 1.16081352239633 0.287 0.024 1.04371445312355e-112 ""4"" ""LOC5571729"""
"152 1.26257651248726e-116 1.68370533370503 0.752 0.22 1.64930369826211e-112 ""4"" ""LOC5574432"""
"153 6.0560225808509e-115 2.01645688722628 0.717 0.203 7.91098229736552e-111 ""4"" ""LOC5564316"""
"154 2.3193656498406e-113 1.87803778419056 0.723 0.206 3.02978734838678e-109 ""4"" ""LOC5566239"""
"155 6.49215844350069e-113 1.72167358126842 0.837 0.286 8.48070657474495e-109 ""4"" ""LOC5568875"""
"156 2.33059461676438e-111 1.7401555472342 0.997 0.916 3.04445574787931e-107 ""4"" ""LOC110679507"""
"157 3.51459840692551e-110 1.58969674305674 0.59 0.125 4.59111989896679e-106 ""4"" ""LOC5566745"""
"158 1.21431033458644e-109 1.5846783566368 0.625 0.14 1.58625359007027e-105 ""4"" ""LOC5566008"""
"159 3.12461232657938e-109 1.31347185893675 0.257 0.02 4.08168108221064e-105 ""4"" ""LOC5566132"""
"160 1.77228309549534e-103 2.13480206114127 0.906 0.462 2.31513340764557e-99 ""4"" ""LOC5563715"""
"161 2.06349917645487e-103 1.73870481076556 0.746 0.247 2.69554897420299e-99 ""4"" ""LOC5571586"""
"162 1.00623536990542e-101 1.56810947952064 0.98 0.844 1.31444526370745e-97 ""4"" ""LOC5571120"""
"163 1.33609417515285e-101 1.65007518168418 0.648 0.168 1.74533982100216e-97 ""4"" ""LOC5572820"""
"164 4.41854127662892e-101 1.34644362109755 0.381 0.056 5.77194046966036e-97 ""4"" ""LOC5576578"""
"165 3.20419962822679e-100 1.69566688396715 0.821 0.331 4.18564597435266e-96 ""4"" ""LOC110676555"""
"166 1.14488641653801e-99 2.87241795897807 0.345 0.047 1.4955651259236e-95 ""4"" ""LOC5575249"""
"167 1.85662380514392e-99 1.85016887517766 0.772 0.287 2.42530767665951e-95 ""4"" ""LOC5573386"""
"168 2.11510002818027e-99 1.5710955524408 0.723 0.212 2.76295516681188e-95 ""4"" ""LOC5578647"""
"169 1.07727227010229e-98 1.21070308552884 0.987 0.927 1.40724076643462e-94 ""4"" ""LOC5566252"""
"170 7.98837914151715e-98 1.59876907818261 0.928 0.575 1.04352196725639e-93 ""4"" ""LOC5568309"""
"171 1.45480360387813e-97 1.46901044636836 0.573 0.132 1.90040994774601e-93 ""4"" ""LOC5570893"""
"172 3.03427481892483e-95 1.32241415079099 0.971 0.789 3.96367319596151e-91 ""4"" ""LOC5567734"""
