;p_val;avg_log2FC;pct.1;pct.2;p_val_adj;cluster;gene
71;8.159885692616e-220;1.50973251250395;0.288;0.036;1.07734970799609e-215;2;dpr16
72;1.99975750687287e-216;1.61518942664106;0.465;0.099;2.64027983632425e-212;2;CG7742
73;8.8543609000993e-210;1.54412294454152;0.371;0.064;1.16904126964011e-205;2;5-HT1B
74;1.06928484721289e-206;1.4165825866498;0.71;0.223;1.41177678377518e-202;2;CG43689
75;7.39543084466672e-199;1.6375562217114;0.617;0.191;9.76418734421347e-195;2;CG34325
76;3.47742121293682e-198;1.49435426617066;0.836;0.377;4.59123922744048e-194;2;Naam
77;1.06558717949316e-193;1.94106878576038;0.602;0.198;1.40689475308482e-189;2;CG4341
78;2.02738861589952e-192;1.65944722255969;0.546;0.148;2.67676118957213e-188;2;lncRNA:CR44357
79;8.78370756676958e-183;1.38666176995103;0.722;0.276;1.15971291004059e-178;2;CG14142
80;3.4366344681277e-180;1.26022020349925;0.938;0.629;4.537388488269e-176;2;CG15312
81;4.7098655386833e-178;1.30161699887527;0.255;0.035;6.21843547072356e-174;2;lncRNA:CR46348
82;1.00101341747036e-177;1.0907178109328;0.989;0.764;1.32163801508612e-173;2;Stacl
83;4.1434025420058e-173;1.72282475398631;0.616;0.224;5.47053437621026e-169;2;Sulf1
84;1.42716469354144e-167;1.71686188708341;0.458;0.12;1.88428554488276e-163;2;dpr6
85;5.28033896801232e-160;1.24505673545429;0.191;0.021;6.97163153946667e-156;2;GABA-B-R3
86;5.47264085565724e-155;1.34666370490475;0.755;0.347;7.22552772172426e-151;2;Ten-m
87;2.92411924025296e-151;1.80278290240545;0.633;0.268;3.86071463290599e-147;2;dpr2
88;1.59256032307698e-147;1.3596201281131;0.649;0.257;2.10265739455853e-143;2;CG8086
89;1.92089394620462e-145;1.12094567491265;0.91;0.505;2.53615627717396e-141;2;disco-r
90;1.07391244475316e-143;1.09592952592675;0.978;0.849;1.41788660080759e-139;2;CG41378
91;4.63318985616716e-141;1.12343985839615;0.632;0.221;6.1172005670975e-137;2;Lim1
92;1.45524087991174e-139;1.06078284962156;0.934;0.702;1.92135453374748e-135;2;bol
93;3.43909803239792e-134;1.20364052221956;0.315;0.067;4.54064113217498e-130;2;beat-IIb
94;1.07703679878142e-131;1.36204568413705;0.403;0.112;1.42201168543111e-127;2;Dhc36C
95;3.15020906479593e-129;1.00371301172167;0.934;0.64;4.15922102825006e-125;2;msi
96;1.342844186976e-128;1.52319967517287;0.965;0.796;1.77295718006441e-124;2;Pzl
97;7.16087022248282e-125;1.53716663360521;0.415;0.124;9.45449695474407e-121;2;CG31183
98;8.08400104111658e-121;1.36805182846475;0.685;0.343;1.06733065745862e-116;2;dally
99;1.80681794494357e-118;1.30238686601343;0.661;0.299;2.385541732709e-114;2;CG13133
100;5.32262225338326e-118;1.26545695344739;0.349;0.093;7.02745816114191e-114;2;CG15144
101;4.46752172258248e-113;1.17309338188756;0.272;0.06;5.89846893032565e-109;2;Tektin-C
102;2.02099120447235e-107;1.26372318530645;0.441;0.15;2.66831468726484e-103;2;CG13950
103;3.67947573778364e-107;1.35186259861438;0.515;0.207;4.85801181659574e-103;2;Drl-2
